,Average Eff PSF,Average Eff. Rental,Average Face PSF,Average Face Rental,Average Govt Rates PSF/ Mth,Average Govt Rent PSF/ Mth,Average Govt. Rates/ Mth,Average Govt. Rent/ Mth,Average MFA,Average Net PSF,Average Net Rental,Count,Label,Trade Name,Unit
75,70.785,31003.83,69.68333333,30521.3,2.815,1.69,1232.51,739.5066667,438,71.93166667,31506.07,1,0,Train-To-TXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 18
76,70.785,31003.83,69.68333333,30521.3,2.815,1.69,1232.51,739.5066667,438,71.93166667,31506.07,1,0,Biba KidsXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 18
77,70.785,31003.83,69.68333333,30521.3,2.815,1.69,1232.51,739.5066667,438,71.93166667,31506.07,4,1,Red Wine VXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 18
78,72.36625,20479.64875,73.07125,20679.16375,3.03375,1.34625,858.33125,380.925,283,73.515,20804.745,1,0,i CureXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 19
79,72.36625,20479.64875,73.07125,20679.16375,3.03375,1.34625,858.33125,380.925,283,73.515,20804.745,2,1,BEING!XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 19
80,72.36625,20479.64875,73.07125,20679.16375,3.03375,1.34625,858.33125,380.925,283,73.515,20804.745,1,0,JA'S STOREXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 19
81,72.36625,20479.64875,73.07125,20679.16375,3.03375,1.34625,858.33125,380.925,283,73.515,20804.745,1,0,Excellent XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 19
82,72.36625,20479.64875,73.07125,20679.16375,3.03375,1.34625,858.33125,380.925,283,73.515,20804.745,3,1,ComvitaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 19
83,82.2775,27809.795,81.625,27589.25,3.325,1.41875,1123.58125,479.03875,338,83.2,28121.6,1,0,Three RiveXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 20
84,82.2775,27809.795,81.625,27589.25,3.325,1.41875,1123.58125,479.03875,338,83.2,28121.6,1,0,MV GiftsXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 20
85,82.2775,27809.795,81.625,27589.25,3.325,1.41875,1123.58125,479.03875,338,83.2,28121.6,1,0,To be ConfXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 20
86,82.2775,27809.795,81.625,27589.25,3.325,1.41875,1123.58125,479.03875,338,83.2,28121.6,1,0,La FemmeXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 20
87,82.2775,27809.795,81.625,27589.25,3.325,1.41875,1123.58125,479.03875,338,83.2,28121.6,4,1,Hong Kong XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 20
88,184.72,179732.56,187.3491667,182290.7392,6.333333333,3.726666667,6164.610833,3626.336667,973,187.2375,182182.0875,12,1,Hong Kong XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,G 76
89,66.02142857,51166.60714,66.32428571,51401.32143,2.738571429,1.564285714,2121.691429,1211.64,775,67.61285714,52399.96429,1,0,Hong Kong XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 02D
90,76.61,36772.8,76.30571429,36626.74286,3.302857143,1.867142857,1585.465714,895.5757143,480,76.79285714,36860.57143,1,0,Cosmos VisXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 21
91,76.61,36772.8,76.30571429,36626.74286,3.302857143,1.867142857,1585.465714,895.5757143,480,76.79285714,36860.57143,6,1,Travel ExpXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 21
92,64.15,60685.9,63.725,60283.85,2.588333333,1.553333333,2448.56,1469.136667,946,64.49333333,61010.69333,1,0,Eu Yan SanXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 22
93,64.15,60685.9,63.725,60283.85,2.588333333,1.553333333,2448.56,1469.136667,946,64.49333333,61010.69333,5,1,EU YAN SANXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 22
94,66.474,62950.878,65.088,61638.336,2.704,1.624,2560.988,1536.592,947,67.118,63560.746,1,0,Sassy HairXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 23
95,44.32,54646.56,43.93142857,54167.45143,1.868571429,1.121428571,2306.878571,1384.125714,1233,44.50714286,54877.30714,5,1,Sassy HairXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 29
96,61.4225,113017.4,61.975,114034,3.8975,1.1775,7172.83875,2169.13625,1840,61.7025,113532.6,2,1,Sassy HairXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 35
97,66.474,62950.878,65.088,61638.336,2.704,1.624,2560.988,1536.592,947,67.118,63560.746,3,1,北京同仁堂XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 23
98,66.474,62950.878,65.088,61638.336,2.704,1.624,2560.988,1536.592,947,67.118,63560.746,1,0,Beijing ToXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 23
99,65.04666667,41239.58667,64.605,40959.57,2.72,1.631666667,1725.31,1035.185,634,66.22666667,41987.70667,1,0,I-cureXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 25
100,65.04666667,41239.58667,64.605,40959.57,2.72,1.631666667,1725.31,1035.185,634,66.22666667,41987.70667,1,0,I-Cure NaiXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 25
101,65.04666667,41239.58667,64.605,40959.57,2.72,1.631666667,1725.31,1035.185,634,66.22666667,41987.70667,1,0,i-cureXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 25
102,65.04666667,41239.58667,64.605,40959.57,2.72,1.631666667,1725.31,1035.185,634,66.22666667,41987.70667,1,0,First EdibXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 25
103,65.04666667,41239.58667,64.605,40959.57,2.72,1.631666667,1725.31,1035.185,634,66.22666667,41987.70667,2,1,C'Hair (HaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 25
104,25.856,759545.856,25.83,758782.08,1.168,0.188,34278.19,5532.18,29376,25.992,763540.992,2,1,Federal ReXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26-27
105,25.856,759545.856,25.83,758782.08,1.168,0.188,34278.19,5532.18,29376,25.992,763540.992,3,1,Federal PaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26-27
106,93.535,50695.97,93.335,50587.57,12.435,7.46,6740.74,4044.445,542,95.375,51693.25,2,1,Regina MirXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26A
